id,wine,vintage,format,wine_type,region,country_code,reserve,market,source,source_type
10895454,Château Leoville-Las-Cases,1979,750ml,Red,"France, Bordeaux, St.-Julien",FR,125,180.0,Estimate based on producer/appellation/vintage reputation,estimate
10895424,Domaine du Vieux Telegraphe Châteauneuf-du-Pape,2019,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,75,105.0,"shop.kermitlynch.com, exact vintage match",ws_vintage
10896451,Château Rauzan-Segla,2016,750ml,Red,"France, Bordeaux, Margaux",FR,110,160.0,"Wine-Searcher average retail (USA), vintage-specific",ws_vintage
10895763,Moet et Chandon Brut Imperial,NV,750ml,Sparkling,"France, Champagne",FR,35,49.99,"marketviewliquor.com, NV exact match",ws_vintage
10895729,Veuve Clicquot Ponsardin Brut,NV,750ml,Sparkling,"France, Champagne",FR,40,76.0,Wine-Searcher average retail (Yellow Label Brut NV),ws_vintage
10895772,Veuve Clicquot Ponsardin Brut,NV,750ml,Sparkling,"France, Champagne",FR,40,76.0,Wine-Searcher average retail (Yellow Label Brut NV),ws_vintage
10889557,Veuve Clicquot Ponsardin Brut,NV,750ml,Sparkling,"France, Champagne",FR,40,76.0,Wine-Searcher average retail (Yellow Label Brut NV),ws_vintage
10889602,Veuve Clicquot Ponsardin Brut,NV,750ml,Sparkling,"France, Champagne",FR,40,76.0,Wine-Searcher average retail (Yellow Label Brut NV),ws_vintage
10895904,Piper-Heidsieck Cuvee Brut,NV,750ml,Sparkling,"France, Champagne",FR,35,53.0,"Wine-Searcher average retail (non-vintage), USA",ws_allvintage
10896281,Piper-Heidsieck Cuvee Brut,NV,750ml,Sparkling,"France, Champagne",FR,35,53.0,"Wine-Searcher average retail (non-vintage), USA",ws_allvintage
10895991,Tenuta San Guido Guidalberto,2023,750ml,Red,"Italy, Tuscany",IT,60,88.0,"Wine-Searcher average retail (USA), vintage-specific",ws_vintage
10889647,Castello Banfi Brunello di Montalcino,2000,750ml,Red,"Italy, Tuscany, Brunello di Montalcino",IT,45,71.0,"Wine-Searcher average retail, all-vintage fallback (no 2000-specific figure surfaced)",ws_allvintage
10895784,Taittinger Brut La Francaise,NV,750ml,Sparkling,"France, Champagne",FR,35,65.0,Wine-Searcher average retail,ws_vintage
10896016,Taittinger Brut La Francaise,NV,750ml,Sparkling,"France, Champagne",FR,35,65.0,Wine-Searcher average retail,ws_vintage
10896098,Taittinger Brut La Francaise,NV,750ml,Sparkling,"France, Champagne",FR,35,65.0,Wine-Searcher average retail,ws_vintage
10889610,Château Duhart-Milon-Rothschild,2003,750ml,Red,"France, Bordeaux, Pauillac",FR,75,159.97,"Wine.com retail listing, vintage-specific",ws_single_retailer
10896314,Château Calon-Segur,2018,750ml,Red,"France, Bordeaux, St.-Estephe",FR,125,159.99,"Wine.com retail listing, vintage-specific",ws_single_retailer
10896313,Château Calon-Segur,2018,750ml,Red,"France, Bordeaux, St.-Estephe",FR,125,159.99,"Wine.com retail listing, vintage-specific",ws_single_retailer
10896315,Chateau de Beaucastel Châteauneuf-du-Pape,2009,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,90,164.0,"Wine-Searcher average retail, vintage-specific",ws_vintage
10895728,Veuve Clicquot Ponsardin Brut Rosé,NV,750ml,Sparkling,"France, Champagne",FR,45,67.4,"saratogawine.com, NV exact match",ws_vintage
10887941,Veuve Clicquot Ponsardin Brut Rosé,NV,750ml,Sparkling,"France, Champagne",FR,45,67.4,"saratogawine.com, NV exact match",ws_vintage
10896222,Veuve Clicquot Ponsardin Brut Rosé,NV,750ml,Sparkling,"France, Champagne",FR,45,67.4,"saratogawine.com, NV exact match",ws_vintage
10896282,Veuve Clicquot Ponsardin Brut Rosé,NV,750ml,Sparkling,"France, Champagne",FR,45,67.4,"saratogawine.com, NV exact match",ws_vintage
10895840,Casanova di Neri Brunello di Montalcino,2020,750ml,Red,"Italy, Tuscany, Brunello di Montalcino",IT,55,77.0,"Wine-Searcher average retail, vintage-specific (base/White Label bottling)",ws_vintage
10896110,Casanova di Neri Brunello di Montalcino,2020,750ml,Red,"Italy, Tuscany, Brunello di Montalcino",IT,55,77.0,"Wine-Searcher average retail, vintage-specific (base/White Label bottling)",ws_vintage
